
SUMMARY
=======
Min RR, 3.000000
Max RR, 23.000000
Min WinRate, 28.00%
Max WinRate, 31.00%
Final Balance,"21,694,843"
=======

trade_num,outcome,rrr,actual_risk_pct,risk_amount,amount,start_balance,end_balance
194        , Loss     , 1.0  , 1.66             , 43870        , -43870   , 2636035        , 2592165    
195        , Win      , 20.3 , 1.66             , 43140        , 611510   , 2592165        , 3203675    
196        , Loss     , 1.3  , 1.66             , 53317        , -53317   , 3203675        , 3150358    
197        , Win      , 11.4 , 1.66             , 52430        , 417291   , 3150358        , 3567649    
198        , Loss     , 1.2  , 1.66             , 59375        , -59375   , 3567649        , 3508274    
199        , Loss     , 1.0  , 1.66             , 58386        , -58386   , 3508274        , 3449888    
200        , Loss     , 1.1  , 1.66             , 57415        , -57415   , 3449888        , 3392473    
201        , Win      , 9.2  , 1.43             , 48393        , 312667   , 3392473        , 3705140    
202        , Loss     , 1.1  , 1.43             , 52854        , -52854   , 3705140        , 3652286    
203        , Loss     , 1.0  , 1.43             , 52100        , -52100   , 3652286        , 3600186    
204        , Loss     , 1.2  , 1.43             , 51357        , -51357   , 3600186        , 3548829    
205        , Loss     , 1.2  , 1.43             , 50624        , -50624   , 3548829        , 3498205    
206        , Loss     , 1.0  , 1.43             , 49902        , -49902   , 3498205        , 3448303    
207        , Win      , 10.2 , 1.43             , 49190        , 351905   , 3448303        , 3800208    
208        , Win      , 12.7 , 1.43             , 54210        , 483066   , 3800208        , 4283274    
209        , Win      , 23.0 , 1.43             , 61101        , 983727   , 4283274        , 5267001    
210        , Loss     , 1.1  , 1.43             , 75134        , -75134   , 5267001        , 5191867    
211        , Loss     , 1.1  , 1.43             , 74062        , -74062   , 5191867        , 5117805    
212        , Loss     , 1.1  , 1.43             , 73006        , -73006   , 5117805        , 5044799    
213        , Win      , 23.0 , 1.43             , 71964        , 1158621  , 5044799        , 6203420    
214        , Loss     , 1.0  , 1.43             , 88492        , -88492   , 6203420        , 6114928    
215        , Win      , 23.0 , 1.43             , 87230        , 1404403  , 6114928        , 7519331    
216        , Win      , 9.8  , 1.43             , 107264       , 732077   , 7519331        , 8251408    
217        , Win      , 14.6 , 1.43             , 117707       , 1199670  , 8251408        , 9451078    
218        , Loss     , 1.2  , 1.43             , 134820       , -134820  , 9451078        , 9316258    
219        , Loss     , 1.2  , 1.43             , 132897       , -132897  , 9316258        , 9183361    
220        , Loss     , 1.2  , 1.43             , 131001       , -131001  , 9183361        , 9052360    
221        , Win      , 22.1 , 1.43             , 129132       , 1998576  , 9052360        , 11050936   
222        , Loss     , 1.3  , 1.43             , 157642       , -157642  , 11050936       , 10893294   
223        , Loss     , 1.1  , 1.43             , 155393       , -155393  , 10893294       , 10737901   
